season,match_date,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,fouls_home,fouls_away,yellow_home,yellow_away,red_home,red_away,result
2014-15,2015-02-01,Sevilla,Espanol,3,2,2,1,22,5,7,2,7,2,20,11,8,3,0,1,home_win
2014-15,2015-02-01,Levante,Ath Bilbao,0,2,0,0,10,14,4,5,5,4,17,12,2,5,0,0,away_win
2014-15,2015-02-01,Almeria,Getafe,1,0,1,0,12,12,7,7,6,3,18,10,3,3,1,1,home_win
2014-15,2015-02-01,Barcelona,Villarreal,3,2,1,1,19,9,7,3,8,2,10,20,1,2,0,0,home_win
2014-15,2015-02-02,Malaga,Valencia,1,0,1,0,13,10,6,3,5,3,19,18,5,3,0,1,home_win
2014-15,2015-02-04,Real Madrid,Sevilla,2,1,2,0,14,15,4,3,4,6,9,21,3,6,0,0,home_win
2014-15,2015-02-06,La Coruna,Eibar,2,0,0,0,15,4,5,2,5,3,12,21,2,3,0,0,home_win
2014-15,2015-02-07,Sociedad,Celta,1,1,1,0,7,12,3,3,2,6,17,22,5,4,0,0,draw
2014-15,2015-02-07,Villarreal,Granada,2,0,1,0,9,11,6,3,5,8,12,18,2,1,0,0,home_win
2014-15,2015-02-07,Ath Madrid,Real Madrid,4,0,2,0,17,4,8,1,2,3,17,18,5,2,0,0,home_win
2014-15,2015-02-07,Levante,Malaga,4,1,2,1,11,4,6,3,2,5,20,13,2,1,0,0,home_win
2014-15,2015-02-08,Ath Bilbao,Barcelona,2,5,0,2,15,19,6,11,4,4,15,10,3,1,1,0,away_win
2014-15,2015-02-08,Cordoba,Almeria,1,2,1,0,14,8,7,2,6,6,15,17,2,5,0,0,away_win
2014-15,2015-02-08,Espanol,Valencia,1,2,0,0,9,13,3,5,7,2,22,16,5,4,0,0,away_win
2014-15,2015-02-08,Getafe,Sevilla,2,1,1,0,18,9,8,2,9,5,6,13,1,2,0,0,home_win
2014-15,2015-02-09,Elche,Vallecano,2,0,1,0,18,11,5,3,5,4,21,21,2,3,0,1,home_win
2014-15,2015-02-13,Almeria,Sociedad,2,2,2,1,9,7,4,3,6,6,21,15,5,4,0,0,draw
2014-15,2015-02-14,Sevilla,Cordoba,3,0,2,0,18,10,6,3,8,1,15,16,0,1,1,1,home_win
2014-15,2015-02-14,Real Madrid,La Coruna,2,0,1,0,17,15,6,4,6,6,12,17,2,4,0,0,home_win
2014-15,2015-02-14,Granada,Ath Bilbao,0,0,0,0,11,10,4,0,4,4,16,9,4,4,1,0,draw
2014-15,2015-02-14,Malaga,Espanol,0,2,0,1,17,6,5,2,10,3,12,18,3,7,0,1,away_win
2014-15,2015-02-15,Barcelona,Levante,5,0,2,0,18,5,10,1,3,4,6,13,1,2,0,0,home_win
2014-15,2015-02-15,Celta,Ath Madrid,2,0,0,0,14,10,3,5,9,2,4,12,0,3,0,0,home_win
