home_form_last8,away_form_last8,home_goal_avg,away_goal_avg,home_conceded_avg,away_conceded_avg,home_xg_proxy,away_xg_proxy,home_shots_avg,away_shots_avg,home_sot_avg,away_sot_avg,home_corners_avg,away_corners_avg,home_cards_avg,away_cards_avg,head_to_head_score,home_league_position,away_league_position,home_home_win_rate,away_away_win_rate,home_advantage,home_strength_score,away_strength_score,goal_diff_ratio,position_diff,form_diff,xg_diff,result
0.38,0.38,0.7143,1.7143,1.5714,1.4286,0.3462,0.2907,7.4286,11.8571,2.5714,4.4286,4.5714,5.1429,3.0,2.5714,0.5,13,12,0.3333,0.3333,0.08,0.6796,1.0575,-0.4118,-0.05,0.0,0.0555,away_win
0.9043,0.4271,2.7143,1.0,0.0,1.1429,0.4414,0.3288,15.8571,13.4286,7.0,3.8571,6.7143,7.0,1.4286,3.0,0.5,1,10,1.0,0.3333,0.5571,3.6574,0.9234,0.4615,0.45,0.4771,0.1126,home_win
0.19,0.57,0.5714,1.4286,1.5714,1.7143,0.4,0.4157,9.2857,12.2857,3.7143,3.8571,4.1429,3.8571,2.2857,2.7143,0.5,18,6,0.3333,0.3333,-0.3,0.7097,1.0105,-0.4286,-0.6,-0.38,-0.0157,draw
0.2371,0.7143,0.5714,1.2857,2.1429,3.5714,0.2206,0.4683,9.7143,11.2857,2.1429,3.8571,4.2857,5.0,2.7143,2.0,0.5,15,4,0.0,0.6667,-0.3971,0.5193,0.9923,-0.3846,-0.55,-0.4771,-0.2477,away_win
0.1886,0.4271,0.5714,1.0,1.5714,0.7143,0.3214,0.2472,8.0,10.8571,2.5714,3.5714,3.4286,4.4286,2.8571,2.0,0.5,20,9,0.0,0.0,-0.1586,0.5832,0.9735,-0.2727,-0.55,-0.2386,0.0742,away_win
0.6657,0.4271,1.7143,1.1429,1.0,1.2857,0.38,0.4098,14.2857,11.5714,5.4286,4.4286,5.7143,5.4286,3.2857,2.1429,0.5,5,12,0.6667,0.0,0.3186,1.3314,0.9958,0.2,0.35,0.2386,-0.0298,home_win
0.2371,0.7614,1.0,1.1429,2.2857,1.8571,0.3067,0.4494,10.7143,8.1429,3.2857,2.7143,4.4286,4.1429,2.5714,3.7143,0.5,18,5,0.0,0.6667,-0.4443,0.7139,0.9051,-0.0667,-0.65,-0.5243,-0.1427,away_win
0.19,0.8086,1.1429,0.5714,2.7143,2.4286,0.3818,0.3562,7.8571,12.2857,3.0,3.7143,3.8571,6.1429,2.7143,2.5714,0.5,19,5,0.0,0.3333,-0.5386,0.6846,0.897,0.3333,-0.7,-0.6186,0.0256,home_win
0.5229,0.4271,1.4286,1.0,1.0,1.0,0.3131,0.2935,14.1429,12.8571,4.4286,4.0,6.2857,6.4286,2.1429,3.1429,0.5,9,11,0.3333,0.6667,0.1757,1.1128,0.956,0.1765,0.1,0.0957,0.0196,home_win
0.2371,0.3329,1.1429,1.5714,1.5714,0.5714,0.2655,0.2895,16.1429,11.4286,4.2857,3.7143,7.7143,4.1429,2.0,2.1429,0.5,18,15,0.3333,0.0,-0.0157,0.8768,1.1063,-0.1579,-0.15,-0.0957,-0.024,away_win
0.54,0.2075,1.625,2.5,1.375,0.5,0.4086,0.2025,11.625,14.125,4.75,6.0,6.0,6.375,2.875,1.875,0.5,7,16,0.5,0.25,0.4125,1.1506,1.4939,-0.2121,0.45,0.3325,0.2061,home_win
0.3738,0.2075,0.875,1.5,1.125,0.625,0.2941,0.3846,12.75,11.0,3.75,4.625,6.125,4.875,3.25,3.0,0.5,12,17,0.0,0.0,0.2463,0.8699,1.1294,-0.2632,0.25,0.1663,-0.0905,away_win
0.165,0.2075,0.625,1.625,1.625,1.125,0.3125,0.254,8.0,13.625,2.5,5.25,3.75,5.75,2.75,4.125,0.5,20,18,0.0,0.0,0.0375,0.5724,1.0949,-0.4444,-0.1,-0.0425,0.0585,draw
0.3738,0.3325,1.0,1.5,1.25,0.625,0.3377,0.3115,9.625,12.875,3.25,4.125,4.0,5.375,2.5,2.875,0.5,11,14,0.25,0.25,0.1213,0.8279,1.1168,-0.2,0.15,0.0413,0.0262,draw
0.75,0.9163,3.75,0.0,1.125,2.75,0.4762,0.442,18.375,7.125,8.75,1.625,5.75,2.5,1.5,1.5,0.5,3,1,0.75,0.75,-0.0863,2.0674,0.6924,1.0,-0.1,-0.1663,0.0342,home_win
0.7075,0.2075,2.125,2.25,0.875,0.875,0.3333,0.2759,10.125,13.0,3.375,5.5,3.5,5.625,2.25,1.875,0.5,5,20,1.0,0.25,0.58,1.2223,1.2733,-0.0286,0.75,0.5,0.0574,home_win
0.3738,0.2913,1.125,2.375,1.25,1.375,0.3824,0.3939,8.5,13.125,3.25,5.125,5.125,6.0,2.75,2.5,0.5,14,16,0.5,0.25,0.1625,0.851,1.2251,-0.3571,0.1,0.0825,-0.0115,draw
0.4163,0.7075,0.75,0.875,1.5,1.75,0.3152,0.3917,11.5,8.125,3.625,2.375,4.625,2.625,2.75,2.375,0.5,11,5,0.5,0.5,-0.2112,0.8137,0.8057,-0.0769,-0.3,-0.2913,-0.0765,away_win
0.4988,0.4575,0.875,1.5,1.0,1.375,0.268,0.2872,12.125,11.5,3.25,4.0,6.875,4.875,2.25,2.75,0.5,8,9,0.5,0.5,0.1213,0.882,1.0094,-0.2632,0.05,0.0413,-0.0192,home_win
0.7913,0.5825,1.875,0.875,1.0,1.5,0.4747,0.3362,12.375,11.375,5.875,3.875,6.125,6.25,2.875,2.25,0.5,5,8,0.75,0.5,0.2888,1.457,0.9249,0.3636,0.15,0.2087,0.1385,home_win
0.3325,0.4163,1.25,1.25,2.125,0.625,0.4062,0.3297,8.0,10.625,3.25,3.375,3.375,5.125,3.0,1.875,0.5,16,11,0.25,0.25,-0.0037,0.8009,1.0268,0.0,-0.25,-0.0837,0.0765,away_win
0.7913,0.2062,1.875,1.5,0.875,0.75,0.4228,0.3333,15.375,11.25,6.5,4.125,7.0,6.375,3.0,2.875,0.5,4,19,0.75,0.0,0.665,1.5473,1.0317,0.1111,0.75,0.585,0.0895,home_win
0.7913,0.54,2.5,1.25,0.375,1.625,0.4225,0.3953,17.75,11.375,7.5,3.5,8.125,4.0,2.0,3.0,0.5,3,6,1.0,0.25,0.3312,1.9859,0.9355,0.3333,0.15,0.2512,0.0272,away_win
0.2488,0.75,0.5,1.25,1.5,3.875,0.322,0.4503,7.375,12.25,2.375,3.875,4.75,5.625,3.5,2.5,0.5,13,4,0.25,0.75,-0.4212,0.5792,0.995,-0.4286,-0.45,-0.5012,-0.1283,away_win
